NODEID,坐标X,坐标Y,地面高,R,gridcode
YS02001926,582273.5292,3496677.3147,0.0,700,310075
YS02001929,582260.256,3496648.0396,0.0,700,320990
YS02001932,582249.4605,3496619.964,0.0,700,331725
YS02001935,582238.4151,3496591.887,0.0,700,342459
JiankangQianchi,582303.4638,3497126.9739,0.0,700,154634
CaochengTiaoxuchi,582377.994883,3497361.99929,0.0,700,75851
WS02001211,582133.903,3496346.041,0.0,700,-1
WS02001213,582094.708,3496253.466,0.0,700,-1
WS02001212,582103.788,3496276.35,0.0,700,-1
WS02003059,582064.79,3496172.755,0.0,700,-1
WS02006252,582312.117,3497431.616,0.0,700,-1
WS02006256,582244.277,3497101.271,0.0,700,-1
WS02004138,582216.744,3496358.16,0.0,700,-1
WS02004139,582200.08,3496361.584,0.0,700,-1
HS02004799,582045.569,3496916.477,0.0,700,-1
WS02004041,582052.1,3495902.552,0.0,700,-1
HS02004792,582022.501,3496882.184,0.0,700,-1
HS02004785,581968.06,3496800.873,0.0,700,-1
CaochengRainPumpOutfall1,582335.317,3497445.719,0.0,700,-1
CaochengRainPumpOutfall2,582335.975,3497450.342,0.0,700,-1
JiankangRainPumpOutfall2,582245.161,3497133.642,0.0,700,-1
JiankangRainPumpOutfall1,582245.759,3497137.822,0.0,700,-1
YS02005669,582086.379,33497457.113,0.0,700,-1
YSB1103,581584.99,3497272.256,0.0,700,-1
YS6405,581977.657,3496423.431,0.0,700,-1
WSC,582055.086,3495892.417,0.0,700,-1
XierchiQianchi,582443.912,3496345.722,0.0,700,-1
WS02003076,582001.314,3495918.376,0.0,700,-1
YS6360,581883.287,3496514.921,0.0,700,-1
YS6187,581875.718,3496482.863,0.0,700,-1
YS6363,581875.718,3496482.863,0.0,700,-1
